1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
2	3	1	10	12	11	22	23	24	13	15	14	4	5	6	8	7	9	21	19	20	17	16	18
3	1	2	13	14	15	17	16	18	4	6	5	10	12	11	23	22	24	20	21	19	7	8	9
4	6	5	1	3	2	13	14	15	16	17	18	7	8	9	10	11	12	23	22	24	20	19	21
5	4	6	7	8	9	11	10	12	1	2	3	16	18	17	19	20	21	22	24	23	13	14	15
6	5	4	16	18	17	20	19	21	7	9	8	1	3	2	14	13	15	24	23	22	11	10	12
7	9	8	5	6	4	16	18	17	19	20	21	11	10	12	1	2	3	14	13	15	24	22	23
8	7	9	11	10	12	2	1	3	5	4	6	19	21	20	22	24	23	13	15	14	16	18	17
9	8	7	19	21	20	24	22	23	11	12	10	5	6	4	18	16	17	15	14	13	2	1	3
10	11	12	2	1	3	4	5	6	8	7	9	22	23	24	13	15	14	16	17	18	19	21	20
11	12	10	8	9	7	19	21	20	22	24	23	2	1	3	5	4	6	18	16	17	15	13	14
12	10	11	22	23	24	15	13	14	2	3	1	8	9	7	21	19	20	17	18	16	4	5	6
13	15	14	3	2	1	10	12	11	23	22	24	17	16	18	4	6	5	8	7	9	21	20	19
14	13	15	17	16	18	6	4	5	3	1	2	23	24	22	20	21	19	7	9	8	10	12	11
15	14	13	23	24	22	21	20	19	17	18	16	3	2	1	12	10	11	9	8	7	6	4	5
16	17	18	6	4	5	1	3	2	14	13	15	20	19	21	7	9	8	10	11	12	23	24	22
17	18	16	14	15	13	23	24	22	20	21	19	6	4	5	3	1	2	12	10	11	9	7	8
18	16	17	20	19	21	9	7	8	6	5	4	14	15	13	24	23	22	11	12	10	1	3	2
19	20	21	9	7	8	5	6	4	18	16	17	24	22	23	11	12	10	1	2	3	14	15	13
20	21	19	18	17	16	14	15	13	24	23	22	9	7	8	6	5	4	3	1	2	12	11	10
21	19	20	24	22	23	12	11	10	9	8	7	18	17	16	15	14	13	2	3	1	5	6	4
22	24	23	12	11	10	8	9	7	21	19	20	15	13	14	2	3	1	5	4	6	18	17	16
23	22	24	15	13	14	3	2	1	12	10	11	21	20	19	17	18	16	4	6	5	8	9	7
24	23	22	21	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1
